Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
"Auckland, North Shore Albany Ews",04/04/2014 22,7.3,24,D
"Auckland, North Shore Albany Ews",05/04/2014 22,9.5,24,D
"Auckland, North Shore Albany Ews",06/04/2014 23,9.6,24,D
"Auckland, North Shore Albany Ews",07/04/2014 23,9.5,24,D
"Auckland, North Shore Albany Ews",08/04/2014 23,8.4,24,D
"Auckland, North Shore Albany Ews",09/04/2014 23,3.9,24,D
"Auckland, North Shore Albany Ews",10/04/2014 23,2.5,24,D
"Auckland, North Shore Albany Ews",11/04/2014 23,6.2,24,D
"Auckland, North Shore Albany Ews",12/04/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",13/04/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",14/04/2014 23,3.9,24,D
"Auckland, North Shore Albany Ews",15/04/2014 23,0.6,24,D
"Auckland, North Shore Albany Ews",16/04/2014 23,1.4,24,D
"Auckland, North Shore Albany Ews",17/04/2014 23,4.2,24,D
"Auckland, North Shore Albany Ews",18/04/2014 23,6.7,24,D
"Auckland, North Shore Albany Ews",19/04/2014 23,7.6,24,D
"Auckland, North Shore Albany Ews",20/04/2014 23,4.2,24,D
"Auckland, North Shore Albany Ews",21/04/2014 23,6.3,24,D
"Auckland, North Shore Albany Ews",22/04/2014 23,6.8,24,D
"Auckland, North Shore Albany Ews",23/04/2014 23,7.2,24,D
"Auckland, North Shore Albany Ews",24/04/2014 23,3.2,24,D
"Auckland, North Shore Albany Ews",25/04/2014 23,6.8,24,D
"Auckland, North Shore Albany Ews",26/04/2014 23,6.3,24,D
"Auckland, North Shore Albany Ews",27/04/2014 23,6.6,24,D
"Auckland, North Shore Albany Ews",28/04/2014 23,6,24,D
"Auckland, North Shore Albany Ews",29/04/2014 23,6.6,24,D
"Auckland, North Shore Albany Ews",30/04/2014 23,4.5,24,D
"Auckland, North Shore Albany Ews",01/05/2014 23,8.7,24,D
"Auckland, North Shore Albany Ews",02/05/2014 23,5.7,24,D
"Auckland, North Shore Albany Ews",03/05/2014 23,7.9,24,D
"Auckland, North Shore Albany Ews",04/05/2014 23,8.5,24,D
"Auckland, North Shore Albany Ews",05/05/2014 23,0,24,D
"Auckland, North Shore Albany Ews",06/05/2014 23,7.4,24,D
"Auckland, North Shore Albany Ews",07/05/2014 23,6.2,24,D
"Auckland, North Shore Albany Ews",08/05/2014 23,4.2,24,D
"Auckland, North Shore Albany Ews",09/05/2014 23,6,24,D
"Auckland, North Shore Albany Ews",10/05/2014 23,8.1,24,D
"Auckland, North Shore Albany Ews",11/05/2014 23,7.1,24,D
"Auckland, North Shore Albany Ews",12/05/2014 23,5.1,24,D
"Auckland, North Shore Albany Ews",13/05/2014 23,6.1,24,D
"Auckland, North Shore Albany Ews",14/05/2014 23,4.9,24,D
"Auckland, North Shore Albany Ews",15/05/2014 23,6,24,D
"Auckland, North Shore Albany Ews",16/05/2014 23,8.5,24,D
"Auckland, North Shore Albany Ews",17/05/2014 23,3.4,24,D
