Sri Lanka,3.2,3.1,3.7
Sudan,6.5,6.7,3.4
Suriname,4.8,4.8,6.2
Swaziland,8.4,8.1,5.3
Sweden,9.7,9.6,8.2
Switzerland,11.5,11.4,9.9
Syrian Arab Republic,3.3,3.3,4.9
Tajikistan,6.8,6.4,4.6
Thailand,4.6,4.5,3.4
The former Yugoslav republic of Macedonia,6.4,6.9,8.7
Timor-Leste,1.3,1.4,3.4
Togo,8.6,8.2,5.3
Tonga,4.7,4.4,4.8
Trinidad and Tobago,5.5,5.7,4
Tunisia,7.1,7,5.4
Turkey,5.6,5.4,4.9
Turkmenistan,2,1.9,3.9
Tuvalu,19.7,15,11
Uganda,9.8,9.8,7.2
Ukraine,7.8,7.5,5.6
United Arab Emirates,3.2,3,2.2
United Kingdom of Great Britain and Northern Ireland,9.1,9.3,6.9
United Republic of Tanzania,7.3,7.1,3.4
United States of America,17.1,17,13.1
Uruguay,8.8,8.6,11.2
Uzbekistan,6.1,6.1,5.3
Vanuatu,3.9,3.6,3.6
Venezuela (Bolivarian Republic of),3.6,4.9,5.7
Viet Nam,6,6,4.9
Yemen,5.4,5.6,4.1
Zambia,5,4.8,6.5
